"time","PM1.SSE","PM1.wconn.F_exc","WEC1.F_rad","WEC1.z","WEC1.v_z","WEC1.a_z"
0,0,0,0,0,0,0
0.1,2.319732997793528e-06,4.543764951349346,0.001310440139197775,1.952163619686849e-09,7.746843178529444e-08,2.316359713385755e-06
0.2,9.603294099741154e-06,18.08856400000089,0.02035756357870426,3.086364057051898e-08,6.152422767115178e-07,9.180591781534427e-06
0.3,2.27976882531891e-05,40.36332035374473,0.1004912410821477,1.55163438727074e-07,2.056742031160042e-06,2.033431030160954e-05
0.4,4.334290774145854e-05,70.93787413554135,0.3089146652597027,4.860400179108127e-07,4.811468066020693e-06,3.536458399540624e-05
0.5,7.290602967856415e-05,109.2532915096608,0.7314401159780796,1.173345759412995e-06,9.240877289465719e-06,5.372794470375063e-05
0.6,0.0001130070020446068,154.6439964600244,1.466634875117842,2.400164504987467e-06,1.564653769120544e-05,7.477244413914562e-05
0.7,0.0001645848686596518,206.3519252413538,2.619667994511175,4.376336075965644e-06,2.426012938017554e-05,9.77572820873252e-05
0.8,0.0002275649456972835,263.5336960047225,4.295968262989671,7.331021857931041e-06,3.523564432530582e-05,0.0001218703361981336
0.9,0.0003004923082251909,325.2624053084535,6.594995914088641,1.150461786102928e-05,4.864292049956878e-05,0.0001462438235880214
1,0.0003802939318767669,390.5260741207277,9.604221529657618,1.714011804605392e-05,6.446284146626789e-05,0.0001699689321901604
1.1,0.0004622208900316383,458.2249532962264,13.39339804555519,2.447399435258802e-05,8.258394288262123e-05,0.000192110411294187
1.2,0.0005400039730757391,527.1698658758911,18.00931759344435,3.372683627013673e-05,0.0001028005916729104,0.0002117217877629289
1.3,0.0006062326722768497,596.0835305378573,23.47122427292985,4.509405532282706e-05,0.0001248125592577052,0.0002278616765631332
1.4,0.0006529410564809239,663.6064094426736,29.76668244309758,5.873622170831284e-05,0.0001482265709802969,0.0002396126946905382
1.5,0.0006723575269247391,728.3080957049335,36.84845681748327,7.477010996204922e-05,0.0001725596219459848,0.0002461016728511917
1.6,0.0006577517881603184,788.70464690488,44.63214352941277,9.325995768905846e-05,0.0001972445470651688,0.000246522214794802
1.7,0.0006042944796047584,843.2816290594261,52.99474858655973,0.0001142093858906098,0.0002216378638066092,0.0002401587423366659
1.8,0.0005098351421886157,890.5220066150728,61.77434157998636,0.0001375542566566012,0.000245030086867843,0.0002264111250882212
1.9,0.0003755041474954931,928.9374411203759,70.77084768014966,0.0001631566981468813,0.0002666584999793188,0.0002048188000831591
2,0.0002060545136265439,957.1010821734476,79.7480263491094,0.0001908005432354433,0.0002857222697062113,0.0001750830258314803
2.1,9.879704532196664e-06,973.6795809783022,88.43661871719894,0.0002201883325022761,0.0003013995732771498,0.0001370859057559202
2.2,-0.0002013279972970132,977.4618548826073,96.53872753358817,0.000250940153799985,0.0003128664586876247,9.090449719976801e-05
2.3,-0.0004132796641561035,967.3820990986102,103.733345197466,0.0002825944319758377,0.0003193167847220752,3.681860840595658e-05
2.4,-0.0006101167382634054,942.5346904462468,109.6829170729065,0.0003146106981056337,0.0003199825724068523,-2.468890335256517e-05
2.5,-0.0007756915212638724,902.1789602090831,114.0408484353348,0.0003463744485499142,0.0003141539690477924,-9.294047624203961e-05
2.6,-0.0008949990195426899,845.7323228346249,116.4596886476717,0.0003772038706741258,0.000301197939910519,-0.0001670811484023525
2.7,-0.0009556356090127754,772.7509180255382,116.5998064912273,0.0004063583988579165,0.0002805747391082477,-0.0002461051056440051
2.8,-0.0009491486208192156,682.8977287704816,114.1382233871879,0.0004330487257604658,0.0002518513196978603,-0.0003288907849730526
2.9,-0.0008721423576559326,575.8990388656595,108.7773104296989,0.0004564479888477215,0.00021471083947059,-0.0004142435425166613
3,-0.0007270207222650489,451.4910413839152,100.252983347612,0.0004757036783289904,0.0001689575446222186,-0.0005009441251867703
3.1,-0.0005222737510553161,309.3593455901249,88.34207822358216,0.0004899497821904753,0.0001145167241581615,-0.0005878006888342186
3.2,-0.0002722527918833029,149.0749879469481,72.86852570755164,0.000498318661951957,5.142922951660541e-05,-0.0006737016027384547
3.3,3.576370698884886e-06,-29.96873654304101,53.70808908325743,0.0004999521308588608,-2.015901986504829e-05,-0.0007576659615106269
3.4,0.0002818654983792027,-228.613811830413,30.79134950118343,0.0004940112195451782,-0.0001000124751746469,-0.0008388884501430442
